action,sample,imgPath,vidPath,dataset,one_person,face_visible,gender,age,race
CPR,007,/images/CPR/CPR_007.png,/video/CPR/CPR_007.png,default,yes,visible,female,adult,white
CPR,008,/images/CPR/CPR_008.png,/video/CPR/CPR_008.png,default,yes,visible,female,adult,east-asian
CPR,009,/images/CPR/CPR_009.png,/video/CPR/CPR_009.png,default,yes,visible,male,adult,white
CPR,010,/images/CPR/CPR_010.png,/video/CPR/CPR_010.png,default,no,not-visible,female,adult,white
CPR,011,/images/CPR/CPR_011.png,/video/CPR/CPR_011.png,default,no,not-visible,male,adult,white
CPR,012,/images/CPR/CPR_012.png,/video/CPR/CPR_012.png,default,no,not-visible,female,adult,white
CPR,013,/images/CPR/CPR_013.png,/video/CPR/CPR_013.png,default,yes,visible,female,adult,east-asian
CPR,014,/images/CPR/CPR_014.png,/video/CPR/CPR_014.png,default,yes,visible,male,adult,east-asian
CPR,015,/images/CPR/CPR_015.png,/video/CPR/CPR_015.png,default,no,not-visible,female,adult,east-asian
CPR,016,/images/CPR/CPR_016.png,/video/CPR/CPR_016.png,default,yes,visible,male,adult,indian
CPR,017,/images/CPR/CPR_017.png,/video/CPR/CPR_017.png,default,yes,visible,male,adult,white
CPR,018,/images/CPR/CPR_018.png,/video/CPR/CPR_018.png,default,no,not-visible,male,adult,black
CPR,019,/images/CPR/CPR_019.png,/video/CPR/CPR_019.png,default,yes,visible,female,adult,white
abseiling,000,/images/abseiling/abseiling_000.png,/video/abseiling/abseiling_000.png,default,yes,not-visible,male,adult,white
abseiling,001,/images/abseiling/abseiling_001.png,/video/abseiling/abseiling_001.png,default,yes,not-visible,male,adult,white
abseiling,002,/images/abseiling/abseiling_002.png,/video/abseiling/abseiling_002.png,default,no,not-visible,male,adult,white
abseiling,003,/images/abseiling/abseiling_003.png,/video/abseiling/abseiling_003.png,default,yes,not-visible,male,adult,white
abseiling,004,/images/abseiling/abseiling_004.png,/video/abseiling/abseiling_004.png,default,yes,not-visible,male,adult,southeast-asian
abseiling,005,/images/abseiling/abseiling_005.png,/video/abseiling/abseiling_005.png,default,yes,visible,male,adult,southeast-asian
abseiling,006,/images/abseiling/abseiling_006.png,/video/abseiling/abseiling_006.png,default,yes,not-visible,male,adult,white
abseiling,007,/images/abseiling/abseiling_007.png,/video/abseiling/abseiling_007.png,default,yes,not-visible,male,adult,white
abseiling,008,/images/abseiling/abseiling_008.png,/video/abseiling/abseiling_008.png,default,yes,visible,male,child,white
abseiling,009,/images/abseiling/abseiling_009.png,/video/abseiling/abseiling_009.png,default,yes,visible,male,adult,white
abseiling,010,/images/abseiling/abseiling_010.png,/video/abseiling/abseiling_010.png,default,yes,not-visible,male,adult,white
abseiling,011,/images/abseiling/abseiling_011.png,/video/abseiling/abseiling_011.png,default,yes,not-visible,male,adult,white
abseiling,012,/images/abseiling/abseiling_012.png,/video/abseiling/abseiling_012.png,default,yes,not-visible,male,adult,white
abseiling,013,/images/abseiling/abseiling_013.png,/video/abseiling/abseiling_013.png,default,yes,visible,male,adult,white
abseiling,014,/images/abseiling/abseiling_014.png,/video/abseiling/abseiling_014.png,default,yes,not-visible,male,adult,white
abseiling,015,/images/abseiling/abseiling_015.png,/video/abseiling/abseiling_015.png,default,yes,not-visible,male,adult,white
abseiling,016,/images/abseiling/abseiling_016.png,/video/abseiling/abseiling_016.png,default,yes,not-visible,male,adult,white
abseiling,017,/images/abseiling/abseiling_017.png,/video/abseiling/abseiling_017.png,default,yes,not-visible,male,adult,white
abseiling,018,/images/abseiling/abseiling_018.png,/video/abseiling/abseiling_018.png,default,yes,not-visible,male,adult,white
abseiling,019,/images/abseiling/abseiling_019.png,/video/abseiling/abseiling_019.png,default,yes,visible,male,adult,white
add_new_car_tire,000,/images/add_new_car_tire/add_new_car_tire_000.png,/video/add_new_car_tire/add_new_car_tire_000.png,default,yes,visible,male,adult,white
add_new_car_tire,001,/images/add_new_car_tire/add_new_car_tire_001.png,/video/add_new_car_tire/add_new_car_tire_001.png,default,yes,visible,male,adult,white
add_new_car_tire,002,/images/add_new_car_tire/add_new_car_tire_002.png,/video/add_new_car_tire/add_new_car_tire_002.png,default,yes,visible,male,adult,white
add_new_car_tire,003,/images/add_new_car_tire/add_new_car_tire_003.png,/video/add_new_car_tire/add_new_car_tire_003.png,default,yes,visible,male,adult,indian
add_new_car_tire,004,/images/add_new_car_tire/add_new_car_tire_004.png,/video/add_new_car_tire/add_new_car_tire_004.png,default,yes,visible,male,adult,white
add_new_car_tire,005,/images/add_new_car_tire/add_new_car_tire_005.png,/video/add_new_car_tire/add_new_car_tire_005.png,default,yes,not-visible,male,adult,east-asian
add_new_car_tire,006,/images/add_new_car_tire/add_new_car_tire_006.png,/video/add_new_car_tire/add_new_car_tire_006.png,default,yes,visible,male,adult,white
add_new_car_tire,007,/images/add_new_car_tire/add_new_car_tire_007.png,/video/add_new_car_tire/add_new_car_tire_007.png,default,yes,not-visible,male,adult,middle-eastern
add_new_car_tire,008,/images/add_new_car_tire/add_new_car_tire_008.png,/video/add_new_car_tire/add_new_car_tire_008.png,default,yes,visible,male,adult,white
add_new_car_tire,009,/images/add_new_car_tire/add_new_car_tire_009.png,/video/add_new_car_tire/add_new_car_tire_009.png,default,yes,not-visible,male,adult,white
add_new_car_tire,010,/images/add_new_car_tire/add_new_car_tire_010.png,/video/add_new_car_tire/add_new_car_tire_010.png,default,no,not-visible,male,adult,white
add_new_car_tire,011,/images/add_new_car_tire/add_new_car_tire_011.png,/video/add_new_car_tire/add_new_car_tire_011.png,default,yes,not-visible,male,adult,white
add_new_car_tire,012,/images/add_new_car_tire/add_new_car_tire_012.png,/video/add_new_car_tire/add_new_car_tire_012.png,default,yes,not-visible,male,adult,black
add_new_car_tire,013,/images/add_new_car_tire/add_new_car_tire_013.png,/video/add_new_car_tire/add_new_car_tire_013.png,default,yes,not-visible,male,adult,white
add_new_car_tire,014,/images/add_new_car_tire/add_new_car_tire_014.png,/video/add_new_car_tire/add_new_car_tire_014.png,default,yes,not-visible,male,adult,white
add_new_car_tire,015,/images/add_new_car_tire/add_new_car_tire_015.png,/video/add_new_car_tire/add_new_car_tire_015.png,default,yes,visible,male,adult,black
add_new_car_tire,016,/images/add_new_car_tire/add_new_car_tire_016.png,/video/add_new_car_tire/add_new_car_tire_016.png,default,yes,visible,male,adult,east-asian
add_new_car_tire,017,/images/add_new_car_tire/add_new_car_tire_017.png,/video/add_new_car_tire/add_new_car_tire_017.png,default,yes,visible,male,adult,white
add_new_car_tire,018,/images/add_new_car_tire/add_new_car_tire_018.png,/video/add_new_car_tire/add_new_car_tire_018.png,default,yes,not-visible,male,adult,black
add_new_car_tire,019,/images/add_new_car_tire/add_new_car_tire_019.png,/video/add_new_car_tire/add_new_car_tire_019.png,default,yes,visible,male,adult,white
adjusting_glasses,000,/images/adjusting_glasses/adjusting_glasses_000.png,/video/adjusting_glasses/adjusting_glasses_000.png,default,yes,visible,female,teenager,white
adjusting_glasses,001,/images/adjusting_glasses/adjusting_glasses_001.png,/video/adjusting_glasses/adjusting_glasses_001.png,default,yes,visible,female,teenager,white
adjusting_glasses,002,/images/adjusting_glasses/adjusting_glasses_002.png,/video/adjusting_glasses/adjusting_glasses_002.png,default,yes,visible,male,adult,white
adjusting_glasses,003,/images/adjusting_glasses/adjusting_glasses_003.png,/video/adjusting_glasses/adjusting_glasses_003.png,default,yes,visible,female,adult,white
adjusting_glasses,004,/images/adjusting_glasses/adjusting_glasses_004.png,/video/adjusting_glasses/adjusting_glasses_004.png,default,yes,visible,female,adult,black
adjusting_glasses,005,/images/adjusting_glasses/adjusting_glasses_005.png,/video/adjusting_glasses/adjusting_glasses_005.png,default,yes,visible,female,adult,white
adjusting_glasses,006,/images/adjusting_glasses/adjusting_glasses_006.png,/video/adjusting_glasses/adjusting_glasses_006.png,default,yes,visible,female,adult,white
adjusting_glasses,007,/images/adjusting_glasses/adjusting_glasses_007.png,/video/adjusting_glasses/adjusting_glasses_007.png,default,yes,visible,female,adult,southeast-asian
adjusting_glasses,008,/images/adjusting_glasses/adjusting_glasses_008.png,/video/adjusting_glasses/adjusting_glasses_008.png,default,yes,visible,female,adult,white
adjusting_glasses,009,/images/adjusting_glasses/adjusting_glasses_009.png,/video/adjusting_glasses/adjusting_glasses_009.png,default,yes,visible,female,adult,white
adjusting_glasses,010,/images/adjusting_glasses/adjusting_glasses_010.png,/video/adjusting_glasses/adjusting_glasses_010.png,default,yes,visible,female,adult,unknown
adjusting_glasses,011,/images/adjusting_glasses/adjusting_glasses_011.png,/video/adjusting_glasses/adjusting_glasses_011.png,default,yes,visible,female,adult,black
adjusting_glasses,012,/images/adjusting_glasses/adjusting_glasses_012.png,/video/adjusting_glasses/adjusting_glasses_012.png,default,yes,visible,female,adult,white
adjusting_glasses,013,/images/adjusting_glasses/adjusting_glasses_013.png,/video/adjusting_glasses/adjusting_glasses_013.png,default,yes,visible,female,adult,black
adjusting_glasses,014,/images/adjusting_glasses/adjusting_glasses_014.png,/video/adjusting_glasses/adjusting_glasses_014.png,default,yes,visible,female,adult,east-asian
adjusting_glasses,015,/images/adjusting_glasses/adjusting_glasses_015.png,/video/adjusting_glasses/adjusting_glasses_015.png,default,yes,visible,female,adult,white
adjusting_glasses,016,/images/adjusting_glasses/adjusting_glasses_016.png,/video/adjusting_glasses/adjusting_glasses_016.png,default,yes,visible,female,adult,east-asian
adjusting_glasses,017,/images/adjusting_glasses/adjusting_glasses_017.png,/video/adjusting_glasses/adjusting_glasses_017.png,default,yes,visible,male,adult,east-asian
adjusting_glasses,018,/images/adjusting_glasses/adjusting_glasses_018.png,/video/adjusting_glasses/adjusting_glasses_018.png,default,yes,visible,female,adult,white
adjusting_glasses,019,/images/adjusting_glasses/adjusting_glasses_019.png,/video/adjusting_glasses/adjusting_glasses_019.png,default,yes,visible,female,adult,white
air_drumming,000,/images/air_drumming/air_drumming_000.png,/video/air_drumming/air_drumming_000.png,default,yes,visible,male,adult,east-asian
air_drumming,001,/images/air_drumming/air_drumming_001.png,/video/air_drumming/air_drumming_001.png,default,yes,visible,male,adult,white
air_drumming,002,/images/air_drumming/air_drumming_002.png,/video/air_drumming/air_drumming_002.png,default,yes,visible,male,child,white
air_drumming,003,/images/air_drumming/air_drumming_003.png,/video/air_drumming/air_drumming_003.png,default,yes,visible,male,child,white
air_drumming,004,/images/air_drumming/air_drumming_004.png,/video/air_drumming/air_drumming_004.png,default,yes,visible,male,child,white
air_drumming,005,/images/air_drumming/air_drumming_005.png,/video/air_drumming/air_drumming_005.png,default,yes,visible,female,adult,white
air_drumming,006,/images/air_drumming/air_drumming_006.png,/video/air_drumming/air_drumming_006.png,default,yes,visible,male,adult,white
air_drumming,007,/images/air_drumming/air_drumming_007.png,/video/air_drumming/air_drumming_007.png,default,yes,not-visible,male,adult,white
air_drumming,008,/images/air_drumming/air_drumming_008.png,/video/air_drumming/air_drumming_008.png,default,yes,visible,male,adult,white
air_drumming,009,/images/air_drumming/air_drumming_009.png,/video/air_drumming/air_drumming_009.png,default,yes,visible,male,adult,white
air_drumming,010,/images/air_drumming/air_drumming_010.png,/video/air_drumming/air_drumming_010.png,default,yes,visible,female,adult,white
air_drumming,011,/images/air_drumming/air_drumming_011.png,/video/air_drumming/air_drumming_011.png,default,yes,visible,male,adult,white
air_drumming,012,/images/air_drumming/air_drumming_012.png,/video/air_drumming/air_drumming_012.png,default,yes,visible,male,adult,east-asian
air_drumming,013,/images/air_drumming/air_drumming_013.png,/video/air_drumming/air_drumming_013.png,default,yes,visible,male,adult,white
air_drumming,014,/images/air_drumming/air_drumming_014.png,/video/air_drumming/air_drumming_014.png,default,yes,visible,male,adult,east-asian
air_drumming,015,/images/air_drumming/air_drumming_015.png,/video/air_drumming/air_drumming_015.png,default,yes,visible,male,adult,white
air_drumming,016,/images/air_drumming/air_drumming_016.png,/video/air_drumming/air_drumming_016.png,default,yes,visible,male,adult,white
air_drumming,017,/images/air_drumming/air_drumming_017.png,/video/air_drumming/air_drumming_017.png,default,yes,visible,male,child,east-asian
air_drumming,018,/images/air_drumming/air_drumming_018.png,/video/air_drumming/air_drumming_018.png,default,yes,visible,male,child,middle-eastern
air_drumming,019,/images/air_drumming/air_drumming_019.png,/video/air_drumming/air_drumming_019.png,default,yes,visible,male,adult,white
air_guitar,000,/images/air_guitar/air_guitar_000.png,/video/air_guitar/air_guitar_000.png,default,yes,visible,male,adult,white
air_guitar,001,/images/air_guitar/air_guitar_001.png,/video/air_guitar/air_guitar_001.png,default,yes,visible,male,adult,east-asian
air_guitar,002,/images/air_guitar/air_guitar_002.png,/video/air_guitar/air_guitar_002.png,default,yes,visible,male,adult,white
air_guitar,003,/images/air_guitar/air_guitar_003.png,/video/air_guitar/air_guitar_003.png,default,yes,visible,female,adult,southeast-asian
air_guitar,004,/images/air_guitar/air_guitar_004.png,/video/air_guitar/air_guitar_004.png,default,no,visible,male,adult,white
air_guitar,005,/images/air_guitar/air_guitar_005.png,/video/air_guitar/air_guitar_005.png,default,yes,visible,male,adult,white
air_guitar,006,/images/air_guitar/air_guitar_006.png,/video/air_guitar/air_guitar_006.png,default,yes,visible,male,adult,white
air_guitar,007,/images/air_guitar/air_guitar_007.png,/video/air_guitar/air_guitar_007.png,default,yes,visible,male,adult,white
air_guitar,008,/images/air_guitar/air_guitar_008.png,/video/air_guitar/air_guitar_008.png,default,yes,visible,male,adult,white
air_guitar,009,/images/air_guitar/air_guitar_009.png,/video/air_guitar/air_guitar_009.png,default,yes,visible,male,adult,east-asian
air_guitar,010,/images/air_guitar/air_guitar_010.png,/video/air_guitar/air_guitar_010.png,default,no,visible,male,adult,white
air_guitar,011,/images/air_guitar/air_guitar_011.png,/video/air_guitar/air_guitar_011.png,default,yes,visible,male,adult,east-asian
air_guitar,012,/images/air_guitar/air_guitar_012.png,/video/air_guitar/air_guitar_012.png,default,yes,visible,male,adult,southeast-asian
air_guitar,013,/images/air_guitar/air_guitar_013.png,/video/air_guitar/air_guitar_013.png,default,yes,visible,male,adult,white
air_guitar,014,/images/air_guitar/air_guitar_014.png,/video/air_guitar/air_guitar_014.png,default,yes,visible,female,adult,white
air_guitar,015,/images/air_guitar/air_guitar_015.png,/video/air_guitar/air_guitar_015.png,default,no,visible,male,adult,white
air_guitar,016,/images/air_guitar/air_guitar_016.png,/video/air_guitar/air_guitar_016.png,default,yes,visible,male,adult,white
air_guitar,017,/images/air_guitar/air_guitar_017.png,/video/air_guitar/air_guitar_017.png,default,yes,not-visible,male,adult,unknown
air_guitar,018,/images/air_guitar/air_guitar_018.png,/video/air_guitar/air_guitar_018.png,default,yes,not-visible,male,adult,white
air_guitar,019,/images/air_guitar/air_guitar_019.png,/video/air_guitar/air_guitar_019.png,default,yes,visible,male,adult,white
air_hocky,000,/images/air_hocky/air_hocky_000.png,/video/air_hocky/air_hocky_000.png,default,yes,visible,male,adult,white
air_hocky,001,/images/air_hocky/air_hocky_001.png,/video/air_hocky/air_hocky_001.png,default,no,not-visible,male,adult,black
air_hocky,002,/images/air_hocky/air_hocky_002.png,/video/air_hocky/air_hocky_002.png,default,no,visible,male,adult,white
air_hocky,003,/images/air_hocky/air_hocky_003.png,/video/air_hocky/air_hocky_003.png,default,no,not-visible,male,adult,white
air_hocky,004,/images/air_hocky/air_hocky_004.png,/video/air_hocky/air_hocky_004.png,default,no,visible,male,child,white
air_hocky,005,/images/air_hocky/air_hocky_005.png,/video/air_hocky/air_hocky_005.png,default,yes,visible,male,adult,white
air_hocky,006,/images/air_hocky/air_hocky_006.png,/video/air_hocky/air_hocky_006.png,default,no,visible,male,adult,white
air_hocky,007,/images/air_hocky/air_hocky_007.png,/video/air_hocky/air_hocky_007.png,default,no,visible,female,adult,white
air_hocky,008,/images/air_hocky/air_hocky_008.png,/video/air_hocky/air_hocky_008.png,default,no,visible,female,adult,white
air_hocky,009,/images/air_hocky/air_hocky_009.png,/video/air_hocky/air_hocky_009.png,default,no,visible,male,adult,white
air_hocky,010,/images/air_hocky/air_hocky_010.png,/video/air_hocky/air_hocky_010.png,default,no,visible,male,adult,white
air_hocky,011,/images/air_hocky/air_hocky_011.png,/video/air_hocky/air_hocky_011.png,default,no,visible,male,adult,white
air_hocky,012,/images/air_hocky/air_hocky_012.png,/video/air_hocky/air_hocky_012.png,default,no,visible,female,adult,white
air_hocky,013,/images/air_hocky/air_hocky_013.png,/video/air_hocky/air_hocky_013.png,default,yes,visible,male,child,white
air_hocky,014,/images/air_hocky/air_hocky_014.png,/video/air_hocky/air_hocky_014.png,default,no,visible,female,child,east-asian
air_hocky,015,/images/air_hocky/air_hocky_015.png,/video/air_hocky/air_hocky_015.png,default,,,,,
air_hocky,016,/images/air_hocky/air_hocky_016.png,/video/air_hocky/air_hocky_016.png,default,no,visible,female,adult,southeast-asian
air_hocky,017,/images/air_hocky/air_hocky_017.png,/video/air_hocky/air_hocky_017.png,default,yes,visible,female,adult,white
air_hocky,018,/images/air_hocky/air_hocky_018.png,/video/air_hocky/air_hocky_018.png,default,yes,visible,male,adult,white
air_hocky,019,/images/air_hocky/air_hocky_019.png,/video/air_hocky/air_hocky_019.png,default,no,not-visible,male,adult,white
alligator_wrestling,000,/images/alligator_wrestling/alligator_wrestling_000.png,/video/alligator_wrestling/alligator_wrestling_000.png,default,yes,visible,male,adult,white
alligator_wrestling,001,/images/alligator_wrestling/alligator_wrestling_001.png,/video/alligator_wrestling/alligator_wrestling_001.png,default,yes,visible,male,adult,white
alligator_wrestling,002,/images/alligator_wrestling/alligator_wrestling_002.png,/video/alligator_wrestling/alligator_wrestling_002.png,default,yes,visible,male,adult,white
alligator_wrestling,003,/images/alligator_wrestling/alligator_wrestling_003.png,/video/alligator_wrestling/alligator_wrestling_003.png,default,yes,visible,male,adult,white
alligator_wrestling,004,/images/alligator_wrestling/alligator_wrestling_004.png,/video/alligator_wrestling/alligator_wrestling_004.png,default,yes,visible,male,adult,white
alligator_wrestling,005,/images/alligator_wrestling/alligator_wrestling_005.png,/video/alligator_wrestling/alligator_wrestling_005.png,default,yes,visible,male,adult,white
alligator_wrestling,006,/images/alligator_wrestling/alligator_wrestling_006.png,/video/alligator_wrestling/alligator_wrestling_006.png,default,no,visible,male,adult,black
alligator_wrestling,007,/images/alligator_wrestling/alligator_wrestling_007.png,/video/alligator_wrestling/alligator_wrestling_007.png,default,yes,visible,male,adult,white
alligator_wrestling,008,/images/alligator_wrestling/alligator_wrestling_008.png,/video/alligator_wrestling/alligator_wrestling_008.png,default,yes,visible,female,adult,white
alligator_wrestling,009,/images/alligator_wrestling/alligator_wrestling_009.png,/video/alligator_wrestling/alligator_wrestling_009.png,default,yes,visible,male,adult,white
alligator_wrestling,010,/images/alligator_wrestling/alligator_wrestling_010.png,/video/alligator_wrestling/alligator_wrestling_010.png,default,yes,visible,female,adult,white
alligator_wrestling,011,/images/alligator_wrestling/alligator_wrestling_011.png,/video/alligator_wrestling/alligator_wrestling_011.png,default,yes,visible,male,adult,white
alligator_wrestling,012,/images/alligator_wrestling/alligator_wrestling_012.png,/video/alligator_wrestling/alligator_wrestling_012.png,default,yes,visible,male,adult,black
alligator_wrestling,013,/images/alligator_wrestling/alligator_wrestling_013.png,/video/alligator_wrestling/alligator_wrestling_013.png,default,no,visible,male,adult,white
alligator_wrestling,014,/images/alligator_wrestling/alligator_wrestling_014.png,/video/alligator_wrestling/alligator_wrestling_014.png,default,yes,visible,male,adult,white
alligator_wrestling,015,/images/alligator_wrestling/alligator_wrestling_015.png,/video/alligator_wrestling/alligator_wrestling_015.png,default,yes,not-visible,male,adult,southeast-asian
alligator_wrestling,016,/images/alligator_wrestling/alligator_wrestling_016.png,/video/alligator_wrestling/alligator_wrestling_016.png,default,yes,visible,male,adult,white
alligator_wrestling,017,/images/alligator_wrestling/alligator_wrestling_017.png,/video/alligator_wrestling/alligator_wrestling_017.png,default,yes,visible,male,adult,white
alligator_wrestling,018,/images/alligator_wrestling/alligator_wrestling_018.png,/video/alligator_wrestling/alligator_wrestling_018.png,default,yes,not-visible,male,adult,white
alligator_wrestling,019,/images/alligator_wrestling/alligator_wrestling_019.png,/video/alligator_wrestling/alligator_wrestling_019.png,default,yes,visible,female,adult,unknown
applauding,000,/images/applauding/applauding_000.png,/video/applauding/applauding_000.png,default,no,visible,male,adult,southeast-asian
applauding,001,/images/applauding/applauding_001.png,/video/applauding/applauding_001.png,default,no,not-visible,female,child,black
applauding,002,/images/applauding/applauding_002.png,/video/applauding/applauding_002.png,default,no,visible,male,adult,white
applauding,003,/images/applauding/applauding_003.png,/video/applauding/applauding_003.png,default,yes,visible,female,adult,black
applauding,004,/images/applauding/applauding_004.png,/video/applauding/applauding_004.png,default,yes,visible,male,adult,white
applauding,005,/images/applauding/applauding_005.png,/video/applauding/applauding_005.png,default,yes,not-visible,female,child,white
applauding,006,/images/applauding/applauding_006.png,/video/applauding/applauding_006.png,default,no,visible,female,senior,white
applauding,007,/images/applauding/applauding_007.png,/video/applauding/applauding_007.png,default,no,visible,female,adult,white
applauding,008,/images/applauding/applauding_008.png,/video/applauding/applauding_008.png,default,yes,visible,male,child,white
applauding,009,/images/applauding/applauding_009.png,/video/applauding/applauding_009.png,default,yes,visible,male,adult,white
applauding,010,/images/applauding/applauding_010.png,/video/applauding/applauding_010.png,default,yes,visible,male,adult,white
applauding,011,/images/applauding/applauding_011.png,/video/applauding/applauding_011.png,default,no,visible,female,adult,black
applauding,012,/images/applauding/applauding_012.png,/video/applauding/applauding_012.png,default,no,visible,male,adult,black
applauding,013,/images/applauding/applauding_013.png,/video/applauding/applauding_013.png,default,no,not-visible,male,adult,white
applauding,014,/images/applauding/applauding_014.png,/video/applauding/applauding_014.png,default,no,not-visible,female,child,southeast-asian
applauding,015,/images/applauding/applauding_015.png,/video/applauding/applauding_015.png,default,yes,visible,male,adult,white
applauding,016,/images/applauding/applauding_016.png,/video/applauding/applauding_016.png,default,yes,visible,male,adult,southeast-asian
applauding,017,/images/applauding/applauding_017.png,/video/applauding/applauding_017.png,default,no,visible,male,adult,southeast-asian
applauding,018,/images/applauding/applauding_018.png,/video/applauding/applauding_018.png,default,yes,visible,male,adult,white
applauding,019,/images/applauding/applauding_019.png,/video/applauding/applauding_019.png,default,no,visible,female,adult,white
applying_cream,000,/images/applying_cream/applying_cream_000.png,/video/applying_cream/applying_cream_000.png,default,yes,visible,female,adult,east-asian
applying_cream,001,/images/applying_cream/applying_cream_001.png,/video/applying_cream/applying_cream_001.png,default,yes,visible,female,adult,white
applying_cream,002,/images/applying_cream/applying_cream_002.png,/video/applying_cream/applying_cream_002.png,default,yes,visible,female,adult,white
applying_cream,003,/images/applying_cream/applying_cream_003.png,/video/applying_cream/applying_cream_003.png,default,yes,visible,female,adult,white
